state,account_length,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,customer_service_calls,clv
FL,84,No,No,0,191.0,88,32.47,318.8,119,27.1,247.3,79,11.13,6.5,4,1.76,0,1065.460915725485
WA,134,No,No,0,208.3,86,35.41,253.6,89,21.56,291.0,86,13.1,12.6,3,3.4,1,840.3559820745752
MT,72,No,No,0,253.0,73,43.01,219.3,78,18.64,210.8,89,9.49,9.8,4,2.65,0,887.9693233092949
AL,83,No,No,0,202.3,87,,201.5,111,17.13,101.7,82,4.58,6.8,4,1.84,0,1050.186698919601
WV,137,No,No,0,174.4,120,29.65,156.3,98,13.29,136.5,121,6.14,10.2,5,2.75,0,823.2669847497765
GA,56,No,Yes,30,127.1,89,,172.1,116,14.63,194.6,111,8.76,12.1,3,3.27,1,935.8915764320204
OH,61,Yes,Yes,16,143.5,76,24.4,242.6,58,20.62,147.7,95,6.65,11.3,3,3.05,0,869.4463213962813
DE,171,No,Yes,17,186.9,94,,240.0,138,20.4,200.9,64,9.04,5.8,3,1.57,1,909.2064050905733
FL,58,No,No,0,234.8,89,,106.8,131,9.08,178.5,122,8.03,9.9,6,2.67,0,262.1462197552467
AK,156,No,No,0,123.7,96,21.03,103.0,80,8.76,189.4,82,8.52,13.1,4,3.54,1,635.5925162265952
WI,166,No,No,0,173.9,103,29.56,276.4,83,23.49,190.8,113,8.59,15.3,5,4.13,0,1138.930729725766
OH,83,No,No,0,227.9,78,38.74,207.5,115,17.64,211.7,100,9.53,12.1,5,3.27,1,853.1978807120088
UT,243,No,No,0,95.5,92,16.24,163.7,63,13.91,264.2,118,11.89,6.6,6,1.78,2,711.6690049990907
MN,150,No,No,0,146.3,133,24.87,202.7,95,17.23,234.7,103,10.56,13.1,3,3.54,1,856.0141931201877
WV,92,No,Yes,16,184.0,99,,76.4,134,6.49,185.1,96,8.33,12.7,3,3.43,2,545.3454430231286
MN,80,No,No,0,105.8,110,17.99,43.9,88,3.73,189.6,87,8.53,13.1,5,3.54,0,353.81345053287436
AL,134,No,No,0,178.0,110,30.26,153.8,64,13.07,236.6,105,10.65,11.7,4,3.16,1,746.5125586170178
PA,77,No,Yes,24,149.4,74,25.4,123.9,72,10.53,174.3,84,7.84,10.1,6,2.73,1,457.441067758443
DE,147,No,No,0,209.4,104,,132.5,78,11.26,149.4,123,6.72,11.3,3,3.05,2,622.3592437178146
MO,74,No,No,0,172.1,105,29.26,211.7,99,17.99,182.2,105,8.2,11.6,6,3.13,1,987.9483380865463
IL,138,Yes,No,0,169.3,82,28.78,217.9,147,18.52,184.2,77,8.29,9.4,9,2.54,1,845.6345179515129
HI,64,No,No,0,194.2,147,,173.4,87,14.74,268.7,114,12.09,5.5,2,1.49,2,1191.776736961132
ME,120,No,No,0,198.8,56,,230.1,73,19.56,119.8,81,5.39,9.9,3,2.67,2,953.1009878447984
NH,88,No,No,0,202.2,86,,216.8,93,18.43,239.4,99,10.77,11.8,2,3.19,2,877.6873481187172
FL,104,,No,0,76.4,116,12.99,115.6,74,9.83,226.3,94,10.18,9.4,3,2.54,3,602.7021631816715
GA,27,No,No,0,72.7,75,12.36,208.6,117,17.73,65.8,71,2.96,9.9,3,2.67,1,699.3174495210621
IL,81,No,Yes,31,210.4,100,35.77,225.5,97,19.17,168.7,120,7.59,9.7,4,2.62,0,1080.7140188284038
NC,64,Yes,Yes,33,127.2,93,21.62,162.9,104,13.85,247.4,109,11.13,8.1,13,2.19,0,811.6896192634832
VT,107,No,Yes,28,201.8,79,34.31,304.9,128,25.92,225.6,133,10.15,11.9,8,3.21,1,1046.769380280924
DC,88,,Yes,17,219.5,78,37.32,222.1,94,18.88,188.3,92,8.47,16.1,5,4.35,1,887.7691838587538
NV,77,No,No,0,239.2,114,40.66,150.0,115,12.75,160.8,81,7.24,10.3,2,2.78,5,929.7656849095304
OR,67,Yes,No,0,120.9,58,20.55,235.0,88,19.98,95.1,130,4.28,11.4,11,3.08,2,723.2485270037641
AL,102,No,No,0,224.7,81,38.2,129.4,112,11.0,167.6,109,7.54,15.8,6,4.27,1,684.8734575035246
ND,146,No,Yes,19,176.6,88,30.02,162.7,66,13.83,215.5,98,9.7,14.6,6,3.94,1,598.1542622649597
ME,149,No,No,0,237.6,79,40.39,192.4,107,16.35,207.4,111,9.33,9.1,9,2.46,0,983.1546109794148
IL,129,No,No,0,198.4,91,33.73,264.7,106,22.5,111.4,101,5.01,9.2,2,2.48,2,1083.9831645336972
WA,166,No,No,0,274.3,110,46.63,52.9,109,4.5,246.1,119,11.07,10.9,5,2.94,0,610.0947253942272
KS,149,No,No,0,217.7,91,,273.5,74,23.25,226.9,99,10.21,9.6,3,2.59,3,951.9333880603627
RI,70,No,No,0,134.7,96,22.9,235.9,90,20.05,260.2,113,11.71,7.6,6,2.05,3,865.8050530961818
IA,66,No,No,0,256.3,135,,180.2,106,15.32,187.3,135,8.43,6.2,7,1.67,2,997.0345173188748
NV,160,No,No,0,176.2,90,29.95,196.0,115,16.66,263.9,95,11.88,9.2,4,2.48,1,845.171598205304
HI,169,No,No,0,179.2,111,30.46,175.2,130,14.89,228.6,92,10.29,9.9,6,2.67,2,772.3361108608011
MO,58,,No,0,149.4,145,25.4,196.5,105,16.7,209.5,108,9.43,14.9,3,4.02,1,1041.970668992392
MO,45,No,No,0,207.6,71,,152.7,94,12.98,217.8,125,9.8,12.4,13,3.35,1,762.7430408391057
CT,155,No,No,0,165.4,108,28.12,183.7,103,15.61,80.2,108,3.61,8.9,4,2.4,3,872.0847838352748
MD,52,No,No,0,209.8,114,35.67,171.3,82,14.56,154.6,119,6.96,9.9,9,2.67,4,782.9460745958447
OH,119,No,Yes,27,220.1,128,37.42,268.2,133,22.8,146.5,80,6.59,11.1,3,3.0,0,1128.33378995792
NV,86,No,No,0,141.3,72,24.02,154.3,95,13.12,210.6,91,9.48,8.2,5,2.21,1,890.9822138800972
MD,42,No,No,0,196.5,89,33.41,241.3,123,20.51,143.2,105,6.44,4.0,7,1.08,0,896.0854521156679
OH,123,No,No,0,105.0,150,17.85,251.6,90,21.39,258.0,93,11.61,14.9,5,4.02,0,1022.751990956802
OK,149,No,Yes,43,206.7,79,35.14,174.6,122,14.84,241.5,80,10.87,10.9,3,2.94,1,845.485741194264
MA,160,No,No,0,166.8,109,28.36,236.0,117,20.06,307.6,77,13.84,9.3,1,2.51,1,1048.643353897834
WA,103,No,No,0,204.9,107,34.83,135.2,102,11.49,208.2,106,9.37,10.4,3,2.81,5,621.8650853565682
HI,132,No,Yes,15,154.6,128,26.28,245.6,106,20.88,148.6,90,6.69,9.1,4,2.46,1,1154.910948285658
FL,129,Yes,No,0,267.4,78,45.46,204.2,85,17.36,111.7,146,5.03,5.9,4,1.59,1,934.8748181905194
WI,62,No,No,0,281.0,66,47.77,160.6,108,13.65,77.9,74,3.51,0.0,0,0.0,1,804.5460448543266
WY,32,No,No,0,171.2,82,29.1,185.6,102,15.78,203.3,64,9.15,10.2,7,2.75,1,756.1792993984798
GA,86,No,No,0,124.1,82,21.1,202.6,120,17.22,289.6,119,13.03,6.7,8,1.81,3,977.6334823689343
FL,130,No,No,0,162.8,113,27.68,290.3,111,24.68,114.9,140,5.17,7.2,3,1.94,1,1180.458024645601
WY,42,No,No,0,146.3,84,24.87,255.9,113,21.75,45.0,117,2.03,8.0,12,2.16,1,1037.184568221704
DE,73,No,No,0,254.8,85,,143.4,80,12.19,153.9,102,6.93,15.0,7,4.05,2,953.5646530445654
ME,66,No,Yes,26,254.9,108,,243.2,135,20.67,190.8,95,8.59,5.4,3,1.46,2,1073.557144903744
DC,103,No,Yes,31,107.7,124,,188.9,104,16.06,196.2,98,8.83,8.9,3,2.4,0,697.5150840809697
IA,128,No,No,0,158.8,75,,264.8,91,22.51,270.0,77,12.15,7.6,7,2.05,1,1032.9452071812912
CO,104,No,No,0,182.9,113,31.09,239.6,85,20.37,229.8,104,10.34,5.5,4,1.49,2,873.1004944280728
MN,103,,No,0,198.5,112,33.75,42.5,90,3.61,179.2,124,8.06,12.4,5,3.35,0,683.6251397099471
AZ,87,No,No,0,110.9,91,18.85,158.5,115,13.47,207.5,131,9.34,6.2,5,1.67,1,731.8120443909302
MD,106,No,No,0,165.3,118,28.1,210.0,101,17.85,187.2,93,8.42,8.5,3,2.3,2,981.6561458709017
VT,125,No,No,0,126.7,113,21.54,155.5,131,13.22,206.2,112,9.28,14.4,7,3.89,2,900.2027572185518
DC,108,No,Yes,35,215.9,106,,200.6,107,17.05,195.4,107,8.79,15.5,7,4.19,0,1121.759611648463
WY,125,No,No,0,140.1,132,23.82,209.6,126,17.82,264.1,77,11.88,8.0,2,2.16,1,1030.0799362787081
VA,72,Yes,Yes,29,139.8,114,23.77,138.2,91,11.75,221.0,88,9.95,5.5,6,1.49,0,703.6278930559874
HI,149,No,No,0,166.6,61,28.32,218.8,107,18.6,208.3,131,9.37,8.2,6,2.21,7,835.3142431354886
WI,73,No,No,0,214.2,90,36.41,196.8,78,16.73,157.9,112,7.11,5.9,8,1.59,0,869.762962834899
UT,118,No,Yes,24,118.1,83,20.08,109.6,72,9.32,245.5,73,11.05,16.9,2,4.56,1,417.3043168859389
CO,23,No,No,0,190.2,89,32.33,166.4,108,14.14,219.8,73,9.89,15.0,4,4.05,6,635.3045198021789
NC,127,No,Yes,25,82.2,95,13.97,163.3,109,13.88,264.9,104,11.92,5.1,6,1.38,0,331.2768289962724
NJ,42,No,Yes,32,163.8,80,27.85,177.8,123,15.11,190.4,106,8.57,8.1,5,2.19,0,825.1201622840103
IA,45,No,No,0,159.8,91,27.17,120.4,86,10.23,163.0,93,7.34,10.6,3,2.86,2,630.2824801512537
GA,50,No,Yes,24,214.3,129,36.43,289.8,55,24.63,312.5,130,14.06,10.6,4,2.86,1,904.2971753373653
MO,152,No,No,0,101.2,122,,141.6,87,12.04,198.5,124,8.93,7.5,3,2.03,2,763.152566696672
WY,105,No,No,0,102.8,74,,281.7,125,23.94,228.1,113,10.26,13.2,5,3.56,2,859.0130576111478
HI,72,No,No,0,109.1,97,18.55,115.7,96,9.83,295.8,84,13.31,8.3,6,2.24,0,606.6309613019739
PA,52,No,No,0,215.9,67,36.7,217.0,108,18.45,342.8,130,15.43,5.2,2,1.4,1,850.6039971979742
TX,125,No,No,0,203.4,110,34.58,128.7,97,10.94,190.5,113,8.57,11.0,4,2.97,1,608.596626119534
VA,143,No,No,0,110.1,113,18.72,169.0,59,14.37,166.7,94,7.5,9.2,2,2.48,1,780.4446907320497
RI,65,No,No,0,111.0,51,18.87,219.8,84,18.68,202.0,89,9.09,4.4,14,1.19,1,741.5177456781406
WI,80,No,No,0,239.9,121,,142.3,51,12.1,364.3,106,16.39,9.3,5,2.51,1,781.7053196576265
NC,43,No,No,0,84.2,134,14.31,80.8,103,6.87,196.1,79,8.82,10.8,2,2.92,1,478.1209610963567
NV,143,No,No,0,209.1,127,,106.1,80,9.02,179.6,90,8.08,14.0,6,3.78,0,754.9335151443506
UT,81,No,Yes,24,130.1,117,,196.0,61,16.66,139.3,123,6.27,11.4,5,3.08,0,698.5834349825677
ME,205,No,Yes,24,175.8,139,29.89,155.0,98,13.18,180.7,64,8.13,7.8,5,2.11,2,860.840797434683
HI,24,,No,0,241.9,104,41.12,145.2,112,12.34,214.5,105,9.65,6.6,5,1.78,1,865.9492609540524
OK,74,No,No,0,200.4,87,,309.2,105,26.28,152.1,118,6.84,10.0,2,2.7,1,864.2928247488354
AL,200,,No,0,128.2,87,21.79,133.2,105,11.32,177.6,123,7.99,11.2,2,3.02,1,762.627371162477
MD,86,No,No,0,226.3,88,,223.0,107,18.96,255.6,92,11.5,13.0,3,3.51,4,806.8291168512163
TX,130,No,No,0,120.5,127,,189.7,52,16.12,270.1,107,12.15,14.3,2,3.86,1,1020.0091984383479
OH,56,No,No,0,91.1,90,,179.3,115,15.24,300.7,89,13.53,11.9,8,3.21,2,799.9473167997197
DE,117,No,No,0,168.8,137,28.7,241.4,107,20.52,204.8,106,9.22,15.5,4,4.19,0,1071.007417750632
VT,126,No,No,0,226.2,88,,140.3,114,11.93,208.9,110,9.4,6.4,2,1.73,0,635.0953872924715
OR,132,No,No,0,191.9,107,32.62,206.9,127,17.59,272.0,88,12.24,12.6,2,3.4,1,923.7724942377496
NC,122,No,No,0,180.0,88,30.6,145.0,77,12.33,233.7,120,10.52,11.5,6,3.11,2,612.4062427838138
ID,99,No,No,0,159.7,83,27.15,155.4,121,13.21,255.7,114,11.51,8.4,3,2.27,1,868.3070871355815
AL,87,No,No,0,237.2,124,40.32,222.6,87,18.92,173.3,81,7.8,11.0,3,2.97,1,904.0484260587083
AK,108,No,No,0,103.0,129,17.51,242.3,103,20.6,170.2,89,7.66,7.9,3,2.13,1,930.051358580995
NV,144,,No,0,150.0,69,25.5,285.9,73,24.3,190.6,121,8.58,9.4,15,2.54,0,1088.38051020187
AL,91,No,Yes,23,232.4,97,39.51,186.0,88,15.81,190.5,128,8.57,12.3,3,3.32,3,765.7341715114328
GA,58,No,No,0,165.4,100,28.12,115.7,87,9.83,193.8,118,8.72,12.8,5,3.46,2,773.7937942743657
AR,5,No,No,0,199.2,106,,187.3,12,15.92,214.0,85,9.63,13.3,3,3.59,3,886.313694303088
MO,142,No,Yes,30,154.0,75,26.18,165.8,97,14.09,270.0,83,12.15,10.8,5,2.92,1,731.8641287881869
NY,9,No,Yes,31,193.8,130,32.95,202.6,98,17.22,191.2,102,8.6,13.3,2,3.59,1,875.8335446322967
AZ,73,No,No,0,175.4,130,,248.1,105,21.09,122.4,85,5.51,12.2,4,3.29,0,1139.088791196199
WV,43,No,No,0,230.2,147,39.13,186.7,121,15.87,128.4,100,5.78,9.2,3,2.48,0,787.7536213217122
SC,93,No,No,0,190.2,68,32.33,262.2,64,22.29,130.0,92,5.85,8.8,4,2.38,0,1072.160863432627
VT,85,No,No,0,176.4,122,,224.9,123,19.12,219.6,50,9.88,11.5,1,3.11,1,865.0283931469105
LA,87,No,No,0,228.7,90,,163.0,99,13.86,154.1,90,6.93,11.8,3,3.19,1,835.9944388542987
OH,137,No,No,0,144.0,90,24.48,181.6,100,15.44,128.1,93,5.76,12.3,2,3.32,0,766.237818610448
OR,21,No,Yes,31,135.9,90,23.1,271.0,84,23.04,179.1,89,8.06,9.5,7,2.57,6,912.0272680908324
KY,104,No,No,0,130.5,77,22.19,131.2,117,11.15,264.7,63,11.91,13.0,6,3.51,0,778.7238332621512
OR,161,No,No,0,105.4,70,17.92,214.8,122,18.26,223.6,126,10.06,7.8,5,2.11,0,781.4205185220668
MO,103,No,Yes,24,111.8,85,19.01,239.6,102,20.37,268.3,81,12.07,6.9,4,1.86,1,859.2093381346097
ND,84,No,Yes,33,159.1,106,27.05,149.8,101,12.73,213.4,108,9.6,13.0,18,3.51,1,768.6617430594472
MN,92,,No,0,212.4,105,36.11,224.6,118,19.09,221.3,105,9.96,9.0,4,2.43,1,800.2394561424446
NV,77,No,No,0,142.3,112,24.19,306.3,111,26.04,196.5,82,8.84,9.9,1,2.67,1,1021.2715250995919
FL,159,,Yes,15,113.9,102,19.36,145.3,146,12.35,195.2,137,8.78,11.8,9,3.19,1,765.0886530337782
NV,138,No,No,0,171.4,117,29.14,115.2,128,9.79,224.5,115,10.1,17.0,4,4.59,3,804.9081313457964
NV,178,No,No,0,275.4,150,46.82,187.5,62,15.94,147.1,126,6.62,13.6,3,3.67,1,995.7358329727696
SC,38,No,Yes,31,197.2,118,,249.9,70,21.24,298.9,104,13.45,3.9,2,1.05,0,982.4083649798964
MI,45,No,Yes,26,91.7,104,15.59,150.6,119,12.8,63.3,103,2.85,7.7,5,2.08,1,761.5535481436173
TN,70,No,No,0,126.3,99,,141.6,106,12.04,255.9,96,11.52,9.6,2,2.59,0,629.5154873129803
NY,147,,Yes,33,251.5,107,42.76,234.1,110,19.9,213.4,87,9.6,10.4,6,2.81,3,1033.773949006865
NV,94,No,No,0,190.6,108,32.4,152.3,95,12.95,144.7,97,6.51,7.5,5,2.03,1,784.5887807573024
IL,179,No,No,0,116.1,101,,201.8,99,17.15,181.9,103,8.19,11.6,5,3.13,0,1008.3133809603372
ND,59,No,No,0,179.4,80,30.5,232.5,99,19.76,175.8,105,7.91,14.7,3,3.97,0,914.2387561289707
NC,165,No,No,0,207.7,109,,164.8,94,14.01,54.5,91,2.45,7.9,3,2.13,0,712.5870795347269
TN,140,No,No,0,125.3,84,21.3,167.6,121,14.25,260.6,94,11.73,8.4,4,2.27,1,743.6923553985962
VT,93,No,Yes,32,138.1,91,23.48,167.3,72,14.22,238.9,115,10.75,6.8,3,1.84,2,931.488294530824
DE,64,,Yes,27,201.3,101,34.22,143.8,89,12.22,150.2,127,6.76,12.3,3,3.32,1,822.9498045919554
OR,48,No,No,0,190.4,92,32.37,317.5,85,26.99,133.4,113,6.0,8.3,4,2.24,2,1080.425904239326
NY,181,No,No,0,143.3,91,,195.5,58,16.62,223.3,95,10.05,6.0,7,1.62,1,814.4563674646935
MO,168,No,Yes,42,97.4,57,16.56,203.6,98,17.31,173.9,124,7.83,11.4,2,3.08,2,316.07141564317465
FL,155,No,No,0,181.4,111,,167.7,92,14.25,168.5,122,7.58,11.3,3,3.05,3,934.2772543860964
NY,11,No,No,0,143.4,130,,289.4,50,24.6,194.0,100,8.73,9.7,6,2.62,2,976.0866531407213
ND,182,No,No,0,104.9,111,17.83,198.5,120,16.87,258.2,91,11.62,8.0,5,2.16,2,874.2673129499514
OH,102,No,No,0,114.8,125,19.52,81.9,126,6.96,304.3,101,13.69,12.0,4,3.24,0,738.5516804646733
AL,122,No,No,0,232.5,96,39.53,205.5,120,17.47,213.7,91,9.62,11.9,2,3.21,0,816.249640617132
SC,41,No,No,0,143.6,117,24.41,152.4,108,12.95,194.4,110,8.75,8.6,3,2.32,1,738.4543862870503
GA,132,No,No,0,176.7,132,30.04,244.1,80,20.75,176.3,120,7.93,9.1,4,2.46,2,942.8306390496747
HI,115,No,Yes,33,145.0,72,,194.5,157,16.53,242.3,138,10.9,14.2,3,3.83,2,921.5020547686383
LA,154,No,No,0,166.9,99,,154.9,97,13.17,189.4,89,8.52,7.2,5,1.94,0,682.3649020411921
AR,100,No,No,0,142.5,87,24.23,195.7,88,16.63,122.1,117,5.49,7.8,8,2.11,2,372.8216212036734
AK,146,Yes,No,0,133.0,65,22.61,262.8,93,22.34,214.3,128,9.64,11.2,3,3.02,1,1031.527974568749
AL,67,No,Yes,28,95.0,94,16.15,291.2,73,24.75,159.6,114,7.18,10.0,2,2.7,2,654.5903430711803
KS,70,No,No,0,222.8,114,37.88,215.9,113,18.35,223.5,122,10.06,0.0,0,0.0,1,711.3919690064421
UT,87,No,No,0,146.3,108,,171.8,102,14.6,167.5,66,7.54,5.3,9,1.43,1,621.4127952524673
IN,87,No,No,0,234.8,85,39.92,140.9,91,11.98,204.3,93,9.19,9.5,5,2.57,1,792.8577897346489
CT,70,No,No,0,198.6,111,33.76,213.9,115,18.18,171.2,105,7.7,10.6,6,2.86,2,827.5638129604198
MO,119,No,Yes,32,142.6,77,24.24,208.2,126,17.7,171.0,102,7.69,12.0,2,3.24,3,348.52801685711677
RI,87,Yes,No,0,134.2,80,22.81,165.0,71,14.03,173.1,102,7.79,10.7,5,2.89,0,711.2453428689212
RI,75,No,No,0,122.8,89,20.88,211.3,104,17.96,261.4,91,11.76,10.7,2,2.89,2,979.2672393890532
CT,150,No,No,0,189.3,77,32.18,220.9,105,18.78,238.7,117,10.74,9.2,5,2.48,4,1056.603602076337
IN,161,No,Yes,38,240.4,112,40.87,201.8,102,17.15,206.1,112,9.27,16.1,6,4.35,0,833.6218712732361
KS,124,,No,0,158.6,104,,211.2,77,17.95,179.3,104,8.07,10.2,8,2.75,3,785.0090346981427
RI,158,No,No,0,220.9,129,,242.2,108,20.59,233.3,75,10.5,6.4,5,1.73,0,921.3309535828979
NV,102,No,No,0,144.4,87,24.55,266.5,128,22.65,217.6,59,9.79,7.1,7,1.92,0,1016.5140799628439
UT,85,No,No,0,212.3,107,36.09,228.4,103,19.41,163.3,116,7.35,7.7,3,2.08,0,1050.782993905075
OK,79,No,No,0,147.0,72,24.99,165.7,102,14.08,243.2,107,10.94,8.4,9,2.27,1,662.8917925396522
MN,139,No,Yes,25,96.2,112,16.35,178.9,70,15.21,182.1,84,8.19,12.9,10,3.48,2,924.2625334655127
NC,103,No,No,0,263.4,118,44.78,179.1,69,15.22,214.7,112,9.66,10.3,2,2.78,0,840.1632946016306
OR,98,Yes,No,0,12.5,67,2.13,256.6,90,21.81,169.4,88,7.62,7.7,9,2.08,1,846.8195487563307
NH,78,No,No,0,162.3,116,27.59,192.4,86,16.35,240.6,100,10.83,10.1,3,2.73,2,677.385919050325
AK,50,No,No,0,183.6,107,31.21,58.6,118,4.98,202.6,99,9.12,8.7,3,2.35,1,546.0631694740654
WV,86,No,Yes,38,123.0,158,20.91,133.9,119,11.38,138.2,103,6.22,13.3,4,3.59,1,603.061173207118
GA,92,No,No,0,208.0,125,35.36,198.9,76,16.91,76.4,97,3.44,8.6,6,2.32,0,989.6821951976503
NM,174,No,No,0,239.2,72,,188.5,124,16.02,105.6,116,4.75,8.8,3,2.38,1,697.8789765128474
OH,124,No,No,0,193.0,97,32.81,89.8,99,7.63,172.8,104,7.78,15.3,3,4.13,1,581.6521958274658
HI,101,No,No,0,93.8,127,,150.0,104,12.75,241.1,116,10.85,10.7,2,2.89,1,799.4068417298607
WY,185,Yes,Yes,30,154.1,114,26.2,118.7,106,10.09,258.4,105,11.63,12.9,3,3.48,2,665.7613414368988
NY,68,No,Yes,29,239.5,82,,203.8,105,17.32,167.8,70,7.55,9.9,6,2.67,0,860.7672225861007
KS,117,No,Yes,25,216.0,140,,224.1,69,19.05,267.9,112,12.06,11.8,4,3.19,0,851.6459449444528
LA,118,No,No,0,187.4,97,31.86,177.8,89,15.11,233.4,97,10.5,12.2,6,3.29,1,769.1837666928583
PA,124,No,No,0,167.4,119,28.46,233.2,143,19.82,109.6,115,4.93,10.3,5,2.78,0,1174.667785607157
NV,22,No,No,0,160.4,108,27.27,218.1,88,18.54,192.9,115,8.68,12.5,4,3.38,1,756.4490006326033
MO,164,No,Yes,25,219.1,88,37.25,151.5,99,12.88,50.1,60,2.25,14.3,6,3.86,1,677.2075851978683
ME,177,No,No,0,232.8,106,,175.2,97,14.89,212.2,77,9.55,12.5,7,3.38,2,773.5466916832324
NH,110,No,No,0,162.0,81,27.54,247.5,89,21.04,155.5,99,7.0,8.9,8,2.4,0,1046.334608835121
MN,158,No,No,0,209.9,112,35.68,221.3,82,18.81,210.0,93,9.45,8.2,3,2.21,1,873.6410713584903
OH,114,No,No,0,191.5,88,,175.2,78,14.89,220.3,118,9.91,0.0,0,0.0,0,723.2177062372119
NC,64,No,Yes,19,291.1,150,,226.7,123,19.27,219.1,67,9.86,7.5,2,2.03,1,1027.028261163088
KY,111,No,No,0,255.9,97,43.5,204.1,129,17.35,171.3,84,7.71,12.3,5,3.32,3,774.2781699965294
MT,60,No,No,0,252.7,97,42.96,221.1,121,18.79,109.9,100,4.95,12.4,4,3.35,2,1176.380911526785
NJ,113,,No,0,132.1,72,22.46,247.5,107,21.04,246.2,123,11.08,6.9,6,1.86,3,1033.424274210217
FL,109,No,No,0,217.0,115,36.89,207.0,142,17.6,268.0,106,12.06,8.2,4,2.21,1,993.0862425086187
IN,105,No,Yes,42,101.9,79,17.32,223.1,97,18.96,241.6,77,10.87,12.9,2,3.48,0,1032.115520923822
DE,85,No,No,0,211.5,100,35.96,184.6,88,15.69,164.3,131,7.39,13.3,4,3.59,2,654.1680539287312
AL,131,No,No,0,153.4,86,26.08,198.5,81,16.87,164.4,83,7.4,10.4,3,2.81,0,955.188091580812
ME,59,,No,0,166.3,95,28.27,239.3,87,20.34,123.2,108,5.54,10.0,3,2.7,2,1060.687555008667
SD,148,No,No,0,185.2,87,31.48,170.4,96,14.48,165.1,104,7.43,9.5,13,2.57,1,660.0125195025586
VA,210,No,No,0,104.6,121,17.78,149.5,71,12.71,255.1,67,11.48,6.5,8,1.76,2,773.4957794956938
ID,106,No,No,0,274.4,120,,198.6,82,16.88,160.8,62,7.24,6.0,3,1.62,1,763.5590948417557
KY,57,No,Yes,29,279.9,121,,223.1,109,18.96,251.7,94,11.33,13.0,2,3.51,1,1021.474049712599
ND,98,No,No,0,187.2,127,,195.6,88,16.63,181.8,129,8.18,5.1,4,1.38,1,914.4956004149916
HI,157,No,No,0,276.2,95,46.95,165.8,119,14.09,151.6,79,6.82,2.2,4,0.59,3,784.3613435973219
WI,116,,Yes,35,200.4,104,34.07,272.8,89,23.19,214.5,100,9.65,8.3,4,2.24,1,998.5991462799208
WV,30,No,No,0,162.3,96,27.59,244.0,122,20.74,180.1,89,8.1,9.1,4,2.46,2,929.873792906821
KS,52,No,No,0,165.5,78,28.14,205.5,89,17.47,213.6,124,9.61,12.2,6,3.29,0,957.9306702803282
NC,86,No,No,0,190.5,115,32.39,179.6,130,15.27,258.5,89,11.63,10.1,5,2.73,3,892.0977576383414
WY,151,No,No,0,235.9,104,,80.6,91,6.85,212.8,116,9.58,5.8,2,1.57,3,649.9515265685735
NY,117,No,No,0,144.6,115,24.58,258.8,66,22.0,253.2,113,11.39,7.4,9,2.0,2,785.9743018713748
ID,82,,No,0,101.0,93,17.17,155.6,104,13.23,304.4,93,13.7,13.3,2,3.59,0,771.1002167492039
IA,152,No,No,0,206.3,98,35.07,292.8,82,24.89,43.7,121,1.97,10.6,4,2.86,1,1111.18665243416
TN,108,No,Yes,15,165.1,85,28.07,267.0,93,22.7,250.7,114,11.28,10.9,4,2.94,1,1041.314148485548
MA,47,No,No,0,155.3,116,26.4,188.2,85,16.0,247.0,73,11.12,12.3,4,3.32,3,858.8863873639066
OK,189,No,No,0,208.3,106,,236.7,123,20.12,179.1,120,8.06,11.3,5,3.05,3,1011.493777661747
MT,111,No,No,0,142.3,75,,122.8,106,10.44,229.5,94,10.33,12.8,9,3.46,2,608.9718691495988
VT,99,No,Yes,19,87.7,103,14.91,223.0,86,18.96,182.3,112,8.2,7.3,4,1.97,2,792.9465912914565
VA,114,Yes,Yes,31,174.5,104,29.67,224.2,92,19.06,116.3,91,5.23,12.3,10,3.32,2,973.2817936471938
AL,71,No,No,0,103.3,103,17.56,138.5,79,11.77,164.8,98,7.42,9.0,2,2.43,2,711.5011950360931
AL,100,No,Yes,25,246.6,94,,141.4,112,12.02,189.8,109,8.54,13.0,5,3.51,1,870.7908673076278
WV,83,No,Yes,37,78.5,109,13.35,210.5,101,17.89,179.7,102,8.09,11.8,4,3.19,1,809.5448510670509
TN,105,No,No,0,206.2,84,35.05,256.4,138,21.79,117.1,91,5.27,9.0,3,2.43,1,1095.15523077172
ID,144,No,Yes,33,251.6,87,42.77,197.6,118,16.8,209.2,97,9.41,12.2,3,3.29,2,957.6999553810408
TX,19,No,Yes,34,156.6,97,26.62,224.2,97,19.06,260.9,135,11.74,11.3,1,3.05,1,1053.451864885714
MA,46,,No,0,139.4,81,23.7,223.7,113,19.01,173.1,77,7.79,13.6,6,3.67,1,927.3847550814104
IL,127,No,No,0,220.2,108,,188.4,124,16.01,172.7,113,7.77,11.7,3,3.16,2,829.2726719290529
LA,9,No,Yes,39,214.1,108,36.4,169.2,115,14.38,189.7,117,8.54,10.1,3,2.73,1,479.2642829255676
CO,157,No,No,0,196.0,74,33.32,213.4,96,18.14,196.8,81,8.86,7.9,6,2.13,1,832.721610638825
MN,95,No,Yes,32,262.2,123,44.57,165.2,82,14.04,194.3,57,8.74,10.6,5,2.86,0,559.4762958265219
